﻿spot,rating,location,website,phone,notice,price,introduction,time,policy,service,grade,number,traffic,sid
秦始皇帝陵博物院(兵马俑),5A,西安市临潼区秦始皇陵以东1.5公里处,http://www.bmy.com.cn/,"029-81399127,029-81399001",,120,"秦始皇兵马俑博物馆又称兵马俑、秦兵马俑。它是秦始皇陵的陪葬坑，与秦始皇帝陵一同组成了：秦始皇帝陵博物院。
秦始皇兵马俑素有世界第八大奇迹之称。这里出土的一千多个士兵陶俑，形象各不相同，神态生动，是中国古代雕塑艺术史上的一颗璀璨明珠，被誉为“二十世纪考古史上的伟大发现之一”。",3月16日-11月15日 08:30-17:00；11月16日-次年3月15日 08:30-16:30；“五一假期”期间开放营业时间：5月1日，5日营业时间8：00-17：30，5月2日，3日，4日营业时间7：00-19：00。,"由家长携带的16周岁（含）以下未成年人：凭本人中国居民身份证或户口本，免费
老人：65周岁（含周65岁）以上凭本人中国居民身份证（或陕西省敬老优待证），免费
残疾人：凭有效残疾证，免费
现役军人：凭有效证件，免费
消防员：凭有效证件，免费
全日制大学本科及以下学历学生：凭有效学生证，半价
补充说明：修改","停车场：【兵马俑停车场】参考价格：20元/次；地址：陕西省西安市临潼区秦陵北路附近；库位：500
手机充电：秦始皇兵马俑博物馆游客服务中心配备充电电源插座，提供手机充电服务。费用：免费
行李寄存：景区正门右侧游客服务中心
景区讲解：秦始皇兵马俑博物馆游客中心提供电子导览服务和专家预约讲解服务。具体：可提供中文、英文、日文专业讲解服务，可提供专家预约讲解服务；可提供免费广播寻人服务。志愿者不定期免费咨询。
婴儿车租赁：秦始皇游客服务中心配备提供童车租赁服务。费用：免费
轮椅租赁：秦始皇兵马俑博物馆游客服务中心配备提供轮椅租赁服务。费用：免费
卫生间：秦始皇兵马俑博物馆内设有多个卫生间，其中秦始皇兵马俑博物馆内5座，丽山园5座，可根据导览标示选择使用。
吸烟区：景区内有多个吸烟区
ATM机：景区门口前广场
餐厅：收费，景区内有自助餐
自动售卖机：游客服务中心
便利店：景区门口和景区内有多个便利店",4.7,78171条点评,乘坐临潼602路到秦兵马俑站下,1
西安城墙,5A,西安市市中心，有城门多座，永宁门是游客主要游玩的城门（碑林区南大街2号）,http://www.chinaxiancitywall.com/,"029-87272792,029-87283602,029-87286373",西安城墙游玩须知,54,西安城墙，是古都西安的标志性景观，也是我国迄今保存最完整的古城墙之一。全长约14公里是在唐代皇城的基础上建成的，包括护城河、角楼等一系列设施。,1月1日-9月30日 08:00-22:00；10月1日-10月8日 08:00-23:00；10月9日-12月31日 08:00-22:00；以上开放时间适用于永宁门（南门）；中山门（小东门）开放时间为8:00-21:00；长乐门（东门）、安定门（西门）、含光门、尚德门开放时间为08:00-19:00；安远门（北门）、和平门、文昌门关闭出入登城口，开放时间另行通知,"儿童：6周岁（含）以下或1.2米（不含）以下儿童凭有效证件，免费
学生：身高1.2米（含）以上儿童及国内外全日制本科及本科以下学生凭有效学生证，半价
老人：65周岁（含）老年人凭有效证件，免费
残疾人：持有残疾证、残疾军人证的残疾人，免费
军人：持军官证、消防员证、士兵证、学员证、武警警官证的现役军人，持有离休退休军官证的军队离休退休干部和退休士官，免费","停车场：【西安明城墙停车场】参考价格：¥2/小时；地址：南门地下停车场；库位：800
手机充电：景区各门游客服务中心均提供充电宝租赁服务（需扫码付费，1.5元/小时）
景区讲解：西安城墙景区提供人工讲解服务，120元/1个导游，不限人数，具体费用请在景区询问工作人员。
景区地图：景区游客服务中心处及景区箭楼处均有景区导览图
园内交通：自行车：东、西、南、北四处城门上的租赁处，工作时间8:00-20:00，单人车45元/2小时，双人车90元/2小时，单人车押金200元，双人车押金300元；电瓶车：共计四段可游览，每段30元（城上均可使用多种支付方式）
卫生间：景区瓮城及城墙上箭楼位置设有多处卫生间，均有指示牌提示，约60间
残障通道：如残障人士登城不便，可在景区游客服务中心或金钥匙服务台联系工作人员寻求帮助
纪念品商店：景区城上有城墙景区文创产品商店，明码标价",4.6,31571条点评,乘坐地铁2号线到永宁门站下,2
华清宫,5A,西安市临潼区骊山北华清路38号,http://www.hqc.cn/,4000299989,,120,华清宫（华清池 • 骊山）景区位于西安城东30公里，与兵马俑相毗邻。因其亘古不变的温泉资源和众多历史事件享誉海内外，成为中国唐宫文化旅游标志性景区。,"1月1日-3月31日 08:00-17:30(停止售票17:00,最晚入园17:00)；4月1日-10月31日 07:30-19:00(停止售票17:30,最晚入园18:00)；11月1日-12月31日 08:00-17:30(停止售票17:00,最晚入园17:00)","儿童：身高1.2m（不含）以下，免费
老人：年满65周岁（含）的老年人持本人居民身份证原件在华清宫景区木华水清门登记入园，免费
学生：适用于身高在1.2米（含）以上或者6周岁（含）至18周岁（不含）的未成年人购买使用。出票后不允许退票，如未按照规定购票，安检、检票人员审核也不符合优惠人群，需重新购买景区成人门票，优惠
军人：现役军人、残疾军人持本人有效证件在华清宫景区木华水清门登记入园，免费
专家、劳动模范：享受国家特殊津贴及省级以上突出贡献的专家、劳动模范持本人有效证件，免费
残疾人：残疾人持本人有效证件在华清宫景区木华水清门登记入园，免费
补充说明：以上符合免票人员在购票窗口换取免票后，由门禁通道入园。 优惠票及免票对象：只限中华人民共和国公民及港、澳、台同胞。 以上信息仅供参考，具体信息请以陕西西安华清宫景区当天披露为准。","停车场：【华清宫停车场】参考价格：¥20/次；地址：陕西省西安市临潼区华清路38号；库位：200；景区外围停车场：ABCDEF六大停车场可容纳上千辆车辆停放；停车时间：08:00—23:00。
手机充电：景区游客服务中心内提供充电宝租赁服务
行李寄存：为了给游客提供“家”一般的贴心服务，景区内共设有游客中心两处。地点一：望京门（西门）外游客中心，可免费提供小件寄存，医疗救助、广播寻人寻物，轮椅、儿童推车、饮用热水、咨询、讲解、休息等服务。地点二：津阳门（东门）内游客中心，主要为游客提供文创商品售卖、游客休憩、网络中心等。
景区讲解：如需讲解服务可通过景区游览服务部讲解组、华清宫旅行社导游咨询处有偿聘请专业讲解员，可提供中、英、韩、日、法文讲解服务，景区入口处均设有讲解服务岗。
园内交通：电瓶车：①山下园区观光乘车点：津阳门（东门）；②昭阳门-兵谏亭乘车点：昭阳门；工作时间07:00-19:00，①山下园区16元/人/次；②昭阳门-兵谏亭20元/人/次，运行于开阳门-兵谏亭。骊山索道：位于华清宫景区西门（望京门），往西约200米处，工作时间8:00-17:00，往返60元，单程上山35元，单程下山30元，从上站至西秀丽第二峰老母殿。
讲解器租赁：景区暂无耳麦讲解器
卫生间：华清宫共有卫生间（御净轩）12处，其中有第三卫生间5间。分别位于望京门内（含第三卫生间）、津阳门内（含第三卫生间）、东配殿东侧（含第三卫生间）、九龙湖东侧、昭阳门（含第三卫生间）、二号停车场（含第三卫生间）、上德苑广场、兵谏亭、晚照亭、石翁寺、烽火台、虎啸亭。
餐厅：位于景区望京门（西门）的御膳苑提供具有浓厚唐文化的特色美食；位于昭阳门西侧的观风楼为游客提供凉皮、肉夹馍、臊子面等陕西特色餐饮小吃，唐宫风格设计，环境优雅，是您参观途中用餐休憩的好去处；您还可以选择德克士、爱茜茜里、翠云轩等，快餐、冰激凌、冷饮、水果、咖啡等各类饮食一应俱全。",4.4,16413条点评,乘坐地铁9号线到华清池站下,3
陕西历史博物馆,4A,西安市雁塔区小寨东路91号（大雁塔西北侧）,http://www.sxhm.com/,,,119,历史背景：,全年 周二至周日 09:00-17:30(最晚入园16:00) 周一 不开放；中国法定节假日 09:00-17:30(最晚入园16:00)；除夕闭馆,"儿童：身高1.4米（含1.4米）及以下的儿童或6周岁以下（含6周岁）儿童在监护人陪同下（需出示有效证件）参观《大唐遗宝——何家村窖藏出土文物展》即珍宝馆，免费
老人：65周岁（含）以上老年人在监护人陪同下（需在陕西历史博物馆官网预约后现场出示身份证、敬老优待证）参观《大唐遗宝——何家村窖藏出土文物展》即珍宝馆，免费
残疾人：残疾人在监护人陪同下（需在陕西历史博物馆官网预约后现场出示残疾人、伤残军人证、伤残警察证）参观《大唐遗宝——何家村窖藏出土文物展》即珍宝馆，免费
军人：现役军人（需在陕西历史博物馆官网预约后现场出示军官证、文职干部证、士官证、士兵证、军队院校学员证）参观《大唐遗宝——何家村窖藏出土文物展》即珍宝馆，免费","行李寄存：陕西历史博物馆大门西侧入口处提供行3小时免费行李寄存服务，需凭当日门票存取包裹
景区讲解：【自动语音导览机】位置：进入博物馆中央大厅第一展厅门口，排队租用。收费标准：租金30元，押金100元。【讲解员】陕西古代文明（基本陈列，免费参观）：中文讲解100元，英文讲解150元大唐遗宝展（专题展览，票价30元）：中文讲解50元，英文讲解100元唐代壁画珍品馆（专题展览，票价270元）：中文讲解50元，英文讲解100元一名讲解员最多可带领10名游客参观。另外，博物馆安排志愿者讲解员为观众提供免费讲解，请在大厅讲解员联系处了解详细信息。
卫生间：园内设有多处卫生间，均有指示牌提示",4.6,27344条点评,乘坐26路到陕西历史博物馆站下,4
回民街,,西安市莲湖区西大街1号回民街街口,,,,15,回民街不只是一条街，是西安市中心回民聚集区内多条街道的统称，由北院门、北广济街、西羊市、大皮院等街道组成。这里是西安小吃的集中地，作为几百年历史的回民区，这里还能感受到浓浓的穆斯林气息。,全年 全天开放,"儿童：身高1.2米（不含）以下儿童免票（套票除外），免费
老人：70岁（不含）以上老人凭老人证或身份证免票； ，免费","1. 回民街大多数门店的小吃份量都比较大，建议点菜时都选择小份，这样能够吃到更多种类的小吃。
2. 这里是回民聚居区，游玩时请尊重穆斯林的风俗习惯，如：不要拿着肉夹馍（猪肉馅的）进入清真饭店，去清真寺时不要穿短裤和短裙等。
3. 每逢重要节假日，这里的客流量会猛增，人群会将这里的每条街巷塞满，每家门店内都需要排队用餐。",4.2,12293条点评,,5
大唐芙蓉园,5A,西安市曲江新区芙蓉西路99号,http://www.tangparadise.cn/,029-85511888,游览须知,388,位于大雁塔东南侧的大唐芙蓉园，建于原唐代皇家芙蓉园遗址上。来到这里，可以观赏恢弘的仿唐建筑，欣赏灯光衬托下的美景，还可以观看具有盛唐风情的歌舞《梦回大唐》。,全年 09:00-22:00(最晚入园21:30)；2021年2月11日（大年三十）至2月28日（正月十七）开闭园时间为09：00-23：00,"停车场：【大唐芙蓉园停车场】参考价格：4元/小时（小型车辆）、8元/小时（大型车辆）具体以现场为准；地址：大唐芙蓉园西门北侧的地下车场；库位：500；15分钟内免费，超出15分钟不足1小时按1小时计算，超出1小时不足2小时按2小时计算，以此类推；具体以现场为准
手机充电：大唐芙蓉园提供手机充电服务，游客可在景区西门（御苑门）内右侧租赁共享充电宝。
行李寄存：营业时间为9:00-22:00（夏季时间5月1日-10月7日）9:00-20:30（冬季时间10月8日-4月30日）当日景区营业时间内凭门票提供免费行李寄存服务；具体以现场为准
景区讲解：中文讲解收费标准：【1人-10人】200元/小时，与此同时每超出1人加收20元英文讲解收费标准：【1人-10人】400元/小时，与此同时每超出1人加收40元预定讲解员超过15分钟不予预留，每名讲解员限带60人/次；营业时间为9:00-21:30（夏季时间5月1日-10月7日）9:00-20:30（冬季时间10月8日-4月30日）；具体以现场为准
景区地图：大唐芙蓉园提供电子地图，您可以在景区官网查看并下载。
园内交通：观光车：西门电瓶车售票处，工作时间9:00-17:30，30元/人/趟（园区内支持随时上下）；具体以现场为准
婴儿车租赁：游客服务中心内提供1周岁半以下的婴儿车租赁服务押金300元/辆，如有遗失或损坏，押金不予退还；具体以现场为准
雨具租赁：游客服务中心内在雷雨天气为需要雨伞的游客提供雨伞租赁服务押金50元/把，如有遗失或损坏，押金不予退还；具体以现场为准
轮椅租赁：游客服务中心内为残障人士或70周岁以上行动不便的老人提供轮椅、拐杖轮椅押金500元/辆，拐杖押金50元/根，如有遗失或损坏，押金不予退还；具体以现场为准
卫生间：景区售票处及园内设有多处卫生间，均有指示牌提示
餐厅：大唐芙蓉园区内设有肯德基，麦当劳等快餐厅可供用餐。
自动售卖机：园区内含多台自助售卖机及无人便利店，均有指示牌指引
便利店：园区内有多家便利店，所售产品种类多样",乘坐地铁4号线到大唐芙蓉园站下,4.4,18381条点评,"1. 芙蓉园西侧的御宴宫和东南部的唐市，都提供餐饮服务。御宴宫的价格非常高，唐市比较亲民。
2. 大唐芙蓉园与大雁塔（大慈恩寺）相距约2公里，不妨上午游览大雁塔，下午游览芙蓉园。午饭后入园，是游览芙蓉园的最佳时间。这样园内白天的景色和夜景都能欣赏到。",6
大雁塔,5A,西安市雁塔区雁塔路,,,,85,大雁塔，位于市区南部大慈恩寺内。大慈恩寺是唐代长安城内颇为宏丽的皇家寺院，建于唐太宗时期，是太子李治为了追念母亲文德皇后而建，并由西行取经归来的玄奘法师担任“首任主持”。期间，法师督造了大雁塔。,3月1日-10月31日 08:00-18:30；11月1日-次年2月28日 08:00-18:00,"儿童：1.2米（含）以下，免费
老人：65周岁（含65岁）以上凭身份证或者老年证（65岁以下老人无优待政策，需正常购买成人票），免费
军人：现役军人凭军官证，免费
残疾人：凭残疾证，免费
僧侣：凭皈依证，免费
补充说明：以上信息仅供参考，具体信息请以景区当天公示为准。","卫生间：园区总计有11个洗手间，位于园外东西两侧、欧洲街东西两端顶头、火流星出口处、迪士高项目旁、海螺湾入口对面、海螺湾出口、五洲秀场对面、唐古拉雪山、临时餐厅。
便利店：园区周边有多个便利店",4.5,7201条点评,乘坐地铁3号线到大雁塔站下,7
西安钟楼,,西安市碑林区东西南北四条大街交汇处,,,,30,西安钟楼是国内规模较大，保存完整的一座钟楼，始建于明洪武十七年（公元1384年），钟楼处于西安的中心地带，是古城的地标之一，以它为中心辐射出东、南、西、北四条大街并分别与西安城墙东、南、西、北四门相接。,"2月12日-10月10日 08:30-21:30(停止售票21:00,最晚入园21:00)；12月24日-次年2月11日 08:30-18:00(停止售票17:30,最晚入园17:30)","儿童：1.2米（含）以下或6周岁（含）以下，免费
未成年人：6岁（不含6岁）以上-18岁（含18岁），半价
学生：全日制本科及以下学生，半价
老人：65岁（含）以上，免费
军人：现役军人凭军官证，免费
残疾人：凭残疾人证，免费
全国院士：凭借有效证件（院士证或者“三秦优才卡”），免费
补充说明：军人、残疾人需持有效证件换票后登楼参观，65岁以上老人持身份证件无需换票即可登楼。 以上信息仅供参考，具体信息请以景区当天披露为准。","卫生间：景区内设有卫生间，位于门口地下盘道附近并标有醒目的指示牌。
携程现场客服：当您游玩西安钟楼时，在售票厅内会有身穿黑色海豚外套的携程工作人员为您提供免费现场服务。工作时间8:30~17:30（周一至周日）",4.5,9030条点评,1. 若是拦出租去西安钟楼，有的司机会拒载，尤其是节假日，因为钟楼地处市中心的地理位置，会堵车，司机开进去，就很难开出来了。,8
骊山,4A,西安市临潼区环城东路3号,,,,52,骊山位于西安市临潼区，毗邻华清池，如今两个景点已经合并。骊山树木茂盛，自古就是游览胜地。山中分为东，西绣岭，西绣岭集中了骊山的大部分景点，其中包括烽火戏诸侯的“烽火台”和西安事变中的“兵谏亭”。,4月1日-10月31日 08:00-18:00；11月1日-次年3月31日 08:30-17:00,"儿童：身高1.2米（不含）以下，免费
老人：年满65周岁（含）的老年人持本人居民身份证原件（直接刷身份证入园），免费
未成年人：身高1.2米（含）以上或者6周岁（含）至18周岁（不含），优惠
军人：现役军人、残疾军人持本人有效证件，免费
专家、劳动模范：享受国家特殊津贴及省级以上突出贡献的专家、劳动模范持本人有效证件，免费
残疾人：残疾人持本人有效证件，免费
补充说明：以上符合免票人员在购票窗口换取免票后，由门禁通道入园。 出票后不允许退票，如未按照规定购票，安检、检票人员审核也不符合优惠人群，需重新购买景区成人门票。 优惠票及免票对象：只限中华人民共和国公民及港、澳、台同胞。",园内交通：【骊山索道】票价：旺季上行35元 下行30元 往返60元；淡季上行25元 下行20元 往返40元,4.2,1003条点评,乘坐地铁9号线到华清池站下,9
秦始皇陵,5A,西安市临潼区秦陵北路,,,,,秦始皇陵位于西安市郊，是中国历史上第一位皇帝秦始皇嬴政的陵墓，在中国帝王陵墓中，以其规模宏大而著称。目前皇陵没有被挖掘，你可以在陵墓的周边徘徊思古。,9:00-16:00,"未成年人：由家长携带的16岁（含）以下未成年人，凭本人中国居民身份证或学生证、户口本，免费
老人：65岁（含）以上老人，凭本人中国居民身份证（或陕西省敬老优待证），免费
残疾人：凭有效残疾证，免费
军人：中国现役军人（含军队离退休干部）、军队院校学员、退伍老红军战士、革命伤残军人凭有效证件，免费
学生：全日制大学本科及以下学历学生凭有效学生证享受半价优惠（成人院校、在职教育、网络教育等均不享受优惠），优惠票
补充说明：以上信息仅供参考,具体信息请以景区当天披露为准。",乘坐临潼602路到秦始皇陵站下,4.1,798条点评,"1.为了保护文物，秦始皇陵目前已经不允许游客登顶封土堆（陵冢）了。
2. 游客往返兵马俑和秦始皇陵两个景区参观，可免费乘坐景区内的旅游专车，车程约5分钟。
3. 游玩之前，看看有关的电影，如《秦俑》、《寻秦记》等，有助于提高游玩的品质。",10
