sid,aid
1,1507
2,1501
3,1507
4,1503
5,1502
6,1514
7,1503
8,1501
9,1507
10,1507
12,1502
13,1503
14,1505
15,1503
16,1501
17,1508
18,1501
19,1501
21,1503
22,1508
24,1503
25,1502
26,1502
27,1501
28,1503
29,1503
30,1503
31,1508
32,1513
33,1502
34,1502
36,1503
38,1501
39,1502
40,1501
41,1501
42,1511
43,1514
44,1501
45,1500
46,1502
47,1508
48,1507
49,1503
50,1508
51,1502
52,1502
54,1508
55,1505
56,1507
57,1512
58,1501
61,1507
62,1507
63,1500
64,1514
65,1503
66,1502
67,1502
68,1507
69,1503
70,1511
71,1511
72,1500
73,1500
74,1501
75,1501
76,1501
77,1508
78,1507
79,1505
80,1503
81,1510
82,1508
83,1514
84,1503
85,1507
87,1501
88,1501
89,1501
90,1500
91,1502
92,1504
93,1502
94,1501
95,1501
96,1501
97,1503
98,1502
99,1502
100,1500
101,1503
102,1507
103,1503
104,1503
105,1507
106,1501
108,1503
109,1503
110,1501
112,1503
113,1508
114,1507
115,1511
116,1510
117,1507
118,1503
119,1513
120,1503
121,1510
124,1507
125,1513
126,1503
127,1502
129,1507
131,1504
133,1501
134,1513
135,1500
136,1505
137,1507
139,1508
140,1514
141,1508
142,1502
143,1503
144,1503
145,1500
146,1514
147,1501
148,1508
149,1508
151,1508
152,1503
153,1505
154,1503
155,1501
156,1502
158,1513
159,1507
161,1501
162,1503
163,1508
164,1503
165,1504
166,1503
167,1500
168,1500
169,1501
170,1510
171,1514
172,1501
173,1501
174,1504
175,1507
176,1507
177,1510
178,1508
179,1500
180,1511
181,1508
184,1511
185,1507
186,1513
187,1508
188,1508
189,1508
190,1507
191,1502
192,1502
193,1507
194,1507
195,1510
196,1508
197,1501
198,1511
199,1500
200,1507
201,1511
202,1511
203,1505
204,1513
205,1500
206,1511
208,1505
209,1500
210,1510
211,1500
212,1508
214,1506
215,1500
217,1508
218,1508
219,1514
220,1505
221,1504
222,1509
223,1505
224,1501
225,1503
226,1507
227,1513
228,1500
229,1507
230,1501
231,1508
233,1507
234,1511
235,1501
237,1500
238,1507
240,1501
241,1503
242,1504
243,1504
244,1508
245,1508
246,1514
247,1510
248,1513
249,1510
250,1508
251,1513
252,1503
254,1508
