sid,lid
1,1600
1,1602
1,1605
2,1600
2,1602
2,1605
3,1600
3,1602
3,1605
4,1600
4,1602
4,1605
5,1600
5,1602
5,1605
6,1600
6,1602
6,1605
7,1600
7,1602
7,1605
8,1600
8,1602
8,1605
9,1600
9,1602
9,1605
10,1600
10,1602
10,1605
11,1600
11,1602
11,1605
12,1600
12,1602
12,1605
13,1600
13,1602
13,1605
14,1600
14,1602
14,1605
15,1600
15,1602
15,1605
16,1600
16,1602
16,1605
17,1600
17,1602
17,1605
18,1600
18,1602
18,1605
19,1600
19,1602
19,1605
20,1600
20,1602
20,1605
21,1600
21,1602
21,1605
22,1600
22,1602
22,1605
23,1600
23,1602
23,1605
24,1600
24,1602
24,1605
25,1600
25,1602
25,1605
26,1600
26,1602
26,1605
27,1600
27,1602
27,1605
28,1600
28,1602
28,1605
29,1601
29,1604
29,1606
30,1600
30,1602
30,1605
31,1600
31,1602
31,1605
32,1600
32,1602
32,1605
33,1600
33,1602
33,1605
34,1600
34,1602
34,1605
35,1600
35,1602
35,1605
36,1600
36,1602
36,1605
37,1600
37,1602
37,1605
38,1600
38,1602
38,1605
39,1600
39,1602
39,1605
40,1601
40,1603
40,1607
41,1600
41,1602
41,1605
42,1600
42,1602
42,1605
43,1601
43,1604
43,1606
44,1600
44,1602
44,1605
45,1600
45,1602
45,1605
46,1601
46,1603
46,1607
47,1600
47,1602
47,1605
48,1600
48,1602
48,1605
49,1600
49,1602
49,1605
50,1601
50,1602
50,1605
51,1601
51,1602
51,1605
52,1601
52,1603
52,1606
53,1600
53,1602
53,1605
54,1601
54,1602
54,1605
55,1600
55,1602
55,1605
56,1600
56,1602
56,1605
57,1600
57,1602
57,1605
58,1600
58,1602
58,1605
59,1600
59,1602
59,1605
60,1600
60,1602
60,1605
61,1600
61,1602
61,1605
62,1600
62,1602
62,1605
63,1601
63,1602
63,1605
64,1601
64,1602
64,1605
65,1601
65,1604
65,1607
66,1601
66,1602
66,1605
67,1601
67,1602
67,1605
68,1601
68,1602
68,1605
69,1601
69,1604
69,1606
70,1600
70,1602
70,1605
71,1600
71,1602
71,1605
72,1601
